GENESIS-Tabelle: 13211-0008
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen:;;;;;;
Bundesländer, Monate;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen
;;;Anzahl;Prozent;Prozent;Anzahl
Thüringen;2015;Mai;83860;7,3;8,0;18238
Thüringen;2015;Juni;81039;7,0;7,8;18191
Thüringen;2015;Juli;83223;7,2;8,0;18372
Thüringen;2015;August;82748;7,2;7,9;19084
Thüringen;2015;September;79710;6,9;7,6;18946
Thüringen;2015;Oktober;78256;6,8;7,5;19161
Thüringen;2015;November;77175;6,7;7,4;19345
Thüringen;2015;Dezember;79909;6,9;7,7;18538
Thüringen;2016;Januar;89686;7,8;8,6;18461
Thüringen;2016;Februar;89490;7,8;8,6;19608
Thüringen;2016;März;86244;7,5;8,3;20434
Thüringen;2016;April;80587;7,0;7,7;20886
Thüringen;2016;Mai;76581;6,7;7,4;21408
Thüringen;2016;Juni;73831;6,5;7,1;21443
Thüringen;2016;Juli;75153;6,6;7,3;21635
Thüringen;2016;August;73416;6,4;7,1;21998
Thüringen;2016;September;71228;6,2;6,9;21832
Thüringen;2016;Oktober;69312;6,1;6,7;21849
Thüringen;2016;November;69433;6,1;6,7;21467
Thüringen;2016;Dezember;...;...;...;...
_____
Quelle: Bundesagentur für Arbeit, Nürnberg

Ab Januar 2005 sind die Daten über registrierte Arbeitslose
der Bundesagentur für Arbeit auf Grund der Zusammenlegung
von Arbeitslosen- und Sozialhilfe mit früheren Daten nicht
mehr vergleichbar. Beachten Sie bitte hierzu die
Informationen zur Arbeitsmarktstatistik der Bundesagentur
für Arbeit (Code: 13211).

Gemeldete Arbeitsstellen:
Ab Berichtsmonat Juli 2010 werden nur noch ungeförderte
Arbeitsstellen ausgewiesen. Die neue Abgrenzung steht ab
Januar 2000 zur Verfügung.
_____
(C)opyright Statistisches Bundesamt, Wiesbaden 2016
Stand: 06.12.2016 - 12:11:57
